CNF 1 32 3 29
STK 1.3621311 28.267885 0.039053917 27.990963 0
STK 2.2082849 28.221731 1.3621311 28.267885 0
STK 3.1467462 27.990963 2.2082849 28.221731 0
STK 3.7313619 28.067884 3.1467462 27.990963 0
STK 5.0544386 28.4525 3.7313619 28.067884 0
STK 5.7775154 28.467884 5.0544386 28.4525 0
STK 6.7313614 28.2525 5.7775154 28.467884 0
STK 7.4852076 28.0525 6.7313614 28.2525 0
STK 8.408285 28.02173 7.4852076 28.0525 0
STK 9.269823 28.2525 8.408285 28.02173 0
STK 9.9929 28.28327 9.269823 28.2525 0
STK 11.039054 28.067888 9.9929 28.28327 0
STK 11.700592 28.067888 11.039054 28.067888 0
STK 13.039054 28.437119 11.700592 28.067888 0
STK 13.839054 28.483273 13.039054 28.437119 0
STK 14.731361 28.237118 13.839054 28.483273 0
STK 15.515977 28.021732 14.731361 28.237118 0
STK 16.300592 28.11404 15.515977 28.021732 0
STK 17.02367 28.206348 16.300592 28.11404 0
STK 17.962132 28.052502 17.02367 28.206348 0
STK 17.977516 24.529427 17.962132 28.052502 0
STK 0.1965208 14.209152 0.1965208 43.67974 0
STK 22.037716 24.52953 22.01986 27.9581 0
STK 22.716286 28.225958 22.01986 27.9581 0
STK 23.359142 28.172386 22.716286 28.225958 0
STK 23.966286 28.02953 23.359142 28.172386 0
STK 24.484142 28.172386 23.966286 28.02953 0
STK 25.234142 28.225958 24.484142 28.172386 0
STK 25.966286 28.011673 25.234142 28.225958 0
STK 26.002 24.52953 25.966286 28.011673 0
STK 30.01986 24.493816 30.002 27.958103 0
STK 30.930573 28.208103 30.002 27.958103 0
STK 31.609144 28.118816 30.930573 28.208103 0
STK 32.26986 28.10096 31.609144 28.118816 0
STK 32.912716 28.190245 32.26986 28.10096 0
STK 34.002 28.011673 32.912716 28.190245 0
STK 33.984146 23.958103 34.002 28.011673 0
STK 38.002003 23.9581 38.01986 30.011673 0
STK 38.78772 30.190243 38.01986 30.011673 0
STK 39.430576 30.15453 38.78772 30.190243 0
STK 40.01986 30.011673 39.430576 30.15453 0
STK 40.002003 24.065243 40.01986 30.011673 0
STK 41.981907 26.012972 41.98415 31.49381 0
STK 42.73415 31.690239 41.98415 31.49381 0
STK 43.394863 31.654526 42.73415 31.690239 0
STK 43.966293 31.547382 43.394863 31.654526 0
STK 43.930576 26.99381 43.966293 31.547382 0
STK 46.002014 29.993814 46.002014 34.011673 0
STK 46.752014 34.2081 46.002014 34.011673 0
STK 47.39487 34.136673 46.752014 34.2081 0
STK 48.14487 34.011673 47.39487 34.136673 0
STK 48.680584 34.011673 48.14487 34.011673 0
STK 49.5913 34.315243 48.680584 34.011673 0
STK 50.2163 34.225956 49.5913 34.315243 0
STK 50.89487 34.047386 50.2163 34.225956 0
STK 51.44844 34.011673 50.89487 34.047386 0
STK 51.94844 34.190243 51.44844 34.011673 0
STK 51.9663 32.02953 51.94844 34.190243 0
STK 58.00631 31.9861 58.022438 35.96997 0
STK 58.699856 36.16352 58.022438 35.96997 0
STK 59.29663 36.16352 58.699856 36.16352 0
STK 59.99018 36.03449 59.29663 36.16352 0
STK 59.95792 32.018356 59.99018 36.03449 0
